Pollution Level (Air Quality Index values),city,country,population
0,Jeddah,Saudi Arabia,3012000.0
38.4,Yongzhou,China,1000000.0
20.2,Temuco,Chile,265901.0
45.5,Anqing,China,580497.0
37.1,Suihua,China,252245.0
46.2,Rizhao,China,865000.0
43.8,Hefei,China,2035000.0
37.6,Liaoyuan,China,506548.0
36.3,Fuxin,China,770000.0
0,Saugor,India,328240.0
22.1,Riyadh,Saudi Arabia,4465000.0
0,Gornji Milanovac,Serbia,0.0
33.3,Xining,China,1048000.0
36.9,Pingxiang,China,961000.0
36.9,Pingxiang,China,31109.0
36,Chaoyang,China,470296.0
31.8,Zhangye,China,230728.0
25.9,Tehran,Iran,7873000.0
31.3,Phrae,Thailand,38538.0
23.7,Lima,Peru,8012000.0
34.4,Liuzhou,China,1497000.0
36.7,Changchun,China,3183000.0
43.9,Jiujiang,China,545616.0
33,Yulin,China,1127000.0
0,Gangtok,India,77900.0
37.1,Chongqing,China,6461000.0
20.8,Jinchang,China,144363.0
25.1,Mashhad,Iran,2469000.0
0,Erzincan,Turkey,129407.0
36.4,Hohhot,China,1726000.0
35.1,Xinyu,China,913000.0
34.9,Nanchang,China,2350000.0
0,Beichengqu,China,99174.0
37.7,Nantong,China,947000.0
31.3,Wuhai,China,218427.0
35.7,Yichun,China,982000.0
35.7,Yichun,China,777000.0
0,Xuanzhou,China,866000.0
31,Suining,China,1425000.0
31,Yinchuan,China,991000.0
39.9,Wuxi,China,1749000.0
39.4,Qingdao,China,2866000.0
0,Hubli,India,890000.0
38.3,Kuwait City,Kuwait,2063000.0
0,Benin City,Nigeria,1190000.0
30,Chengde,China,449325.0
0,Vushtrri,Kosovo,0.0
26.5,Jiayuguan,China,148279.0
32.6,Yulin,China,1127000.0
34.4,Jilin,China,2396000.0
40.5,Nanjing,China,3679000.0
0,Taraz,Kazakhstan,358153.0
40.5,Yancheng,China,839000.0
28.6,Tongchuanshi,China,282258.0
0,Phayao,Thailand,21058.0
35.1,Benxi,China,1012000.0
26.4,Tirupati,India,287035.0
29.8,Kayseri,Turkey,592840.0
32.9,Guilin,China,987000.0
37.7,Suzhou,China,1964000.0
37.7,Suzhou,China,1650000.0
0,Semarang,Indonesia,1396000.0
0,Mae Hong Son,Thailand,9109.0
31.7,Mudanjiang,China,1244000.0
36.5,Shiyan,China,770000.0
13.7,Yazd,Iran,477905.0
0,Nakhon Phanom,Thailand,55377.0
29.8,Kumul,China,300848.0
24.5,Smederevo,Serbia,0.0
35.9,Amasya,Turkey,82896.0
30.2,Nanning,China,2167000.0
39.2,Hanzhong,China,145986.0
0,Belgaum,India,608756.0
37.5,Yantai,China,2116000.0
0,Lamphun,Thailand,14030.0
32,Dandong,China,870000.0
34.3,Dalian,China,3167000.0
35.4,Shanghai,China,14987000.0
38.1,Shaoxing,China,777000.0
35.7,Siping,China,555609.0
29.1,Kampala,Uganda,1420000.0
37.4,Hangzhou,China,3007000.0
20.4,Shah Alam,Malaysia,481654.0
30.2,Chenzhou,China,322997.0
0,Abuja,Nigeria,1576000.0
25.3,Johannesburg,South Africa,3435000.0
27.1,Jiamusi,China,1020000.0
0,Fuyang,China,771000.0
0,Fuyang,China,170023.0
37,Chiang Rai,Thailand,117127.0
30,Vereeniging,South Africa,1074000.0
35,Jiaxing,China,988000.0
31.4,Shangrao,China,1144577.0
15.7,Szeged,Hungary,187765.0
0,Nong Bua Lamphu,Thailand,0.0
27.1,Jixi,China,965000.0
22.7,Saraburi,Thailand,70769.0
0,Palembang,Indonesia,1749000.0
27.6,Mae Sot,Thailand,45781.0
26.3,Bursa,Turkey,1492000.0
30.3,Accra,Ghana,2121000.0
0,Gliwice,Poland,507670.0
27.7,Santiago,Chile,5720000.0
29.8,Baishan,China,330000.0
0,Beirut,Lebanon,1846000.0
32.4,Jinhua,China,1092852.0
0,Zagreb,Croatia,722526.0
28.7,Wuzhou,China,442315.0
0,Rustenburg,South Africa,165976.0
26.9,Rancagua,Chile,233268.0
18,Jinchang,China,144363.0
18.9,Guadalajara,Mexico,4198000.0
28.5,Shuangyashan,China,500000.0
31.4,Weihai,China,560255.0
32.2,Huzhou,China,1231000.0
0,Suphan Buri,Thailand,53399.0
34.6,Chennai,India,7163000.0
26.3,Hechi,China,3830000.0
24.7,Kragujevac,Serbia,171197.0
0,Phitsanulok,Thailand,164017.0
27.2,Daqing,China,1693000.0
32.3,Chiang Mai,Thailand,397211.0
28.3,Shaoguan,China,720266.0
0,Jining,China,1186000.0
0,Jining,China,281716.0
0,Kochi,India,1519000.0
26.9,Beihai,China,728978.0
28.9,Guangzhou,China,8829000.0
26.3,Samut Songkhram,Thailand,35065.0
20.5,Baoshan,China,1000000.0
23.4,Udon Thani,Thailand,247231.0
22.3,Trabzon,Turkey,764714.0
26.5,Baicheng,China,386861.0
26.5,Baicheng,China,175282.0
26.9,Novi Sad,Serbia,225457.0
20.1,Addis Ababa,Ethiopia,3100000.0
0,Uthai Thani,Thailand,22219.0
20.2,Uttaradit,Thailand,76630.0
26.5,Guiyang,China,3662000.0
32.8,Fuzhou,China,2606000.0
32.8,Fuzhou,China,241104.0
0,Polokwane,South Africa,220045.0
28.5,Chaozhou,China,424787.0
0,Cuddalore,India,158569.0
0,Sukhothai,Thailand,10276.0
29.4,Foshan,China,943000.0
22.5,Anshun,China,849000.0
34,Ankang,China,1100000.0
30.3,Zhangzhou,China,3531147.0
32.3,Tongliao,China,884000.0
31,Tongren,China,118290.0
27.3,Guangyuan,China,437435.0
21.9,Miskolc,Hungary,247757.0
0,Osogbo,Nigeria,408245.0
23.3,Belgrade,Serbia,1099000.0
0,Haikou,China,2046189.0
25.1,Kunming,China,2931000.0
24.1,Samut Sakhon,Thailand,63498.0
26.1,Zhangjiakou,China,1046000.0
23.4,Modena,Italy,175502.0
20.5,Lublin,Poland,360044.0
29.9,Qingyuan,China,706717.0
29.9,Qingyuan,China,47062.0
22.1,Slavonski Brod,Croatia,97718.0
25.4,Zhanjiang,China,1590000.0
23.4,Karamay,China,108769.0
49.7,Pontianak,Indonesia,607311.0
23.9,Nakhon Sawan,Thailand,111915.0
0,Gannan,China,59239.0
26.9,Bartın,Turkey,0.0
23.5,Sakarya,Turkey,260109.0
26.7,Jingdezhen,China,457298.0
31.5,Dongguan,China,4528000.0
36.4,Khon Kaen,Thailand,251056.0
20.4,Zunyi,China,849000.0
27.8,Wenzhou,China,2350000.0
26,Katowice,Poland,2746000.0
0,Antigua Guatemala,Guatemala,39368.0
31.4,Zhaoqing,China,480000.0
19,Zhaotong,China,809000.0
20.1,Kielce,Poland,215733.0
0,Linxia Chengguanzhen,China,534555.0
27,Jiangmen,China,532419.0
28.4,Ganzhou,China,1500000.0
31.8,Quzhou,China,370000.0
0,Porto Velho,Brazil,306180.0
23.6,Nur-Sultan,Kazakhstan,345604.0
23.6,Kamphaeng Phet,Thailand,58787.0
0,Jambi,Indonesia,457090.0
0,Qom,Iran,973000.0
20.5,Mexico City,Mexico,19028000.0
19.5,Chon Buri,Thailand,226618.0
24.6,Phra Nakhon Si Ayutthaya,Thailand,145615.0
28.6,Yangjiang,China,872363.0
25.5,Pretoria,South Africa,1338000.0
22.7,Kaohsiung,Taiwan,2769072.0
29.5,Ratchaburi,Thailand,106996.0
21,San Fernando,Chile,60746.0
23.1,Vientiane,Laos,754000.0
0,Antananarivo,Madagascar,1697000.0
27.9,Thiruvananthapuram,India,954000.0
21.5,Hegang,China,743307.0
27.2,Standerton,South Africa,74021.0
20.8,Si Racha,Thailand,178916.0
22.9,Samut Prakan,Thailand,388920.0
28.4,Ningbo,China,1923000.0
0,Craiova,Romania,304142.0
23.1,Yuxi,China,396325.0
26.5,Taizhou,China,612356.0
24.5,Heyuan,China,330961.0
20.9,Chuxiong,China,254370.0
23.2,Nonthaburi,Thailand,258550.0
21.8,Tel Aviv-Yafo,Israel,3112000.0
16.8,Johor Bahru,Malaysia,875000.0
14,Samsun,Turkey,609339.0
24.5,Quanzhou,China,1463000.0
23.6,Sanming,China,209444.0
0,Nehe,China,108253.0
16.9,Melaka,Malaysia,788706.0
23.9,Putian,China,376558.0
20.1,Tbilisi,Georgia,1100000.0
0,Como,Italy,250000.0
0,Ashgabat,Turkmenistan,727700.0
15.3,Kota Bharu,Malaysia,505583.0
42.2,Nakhon Ratchasima,Thailand,334984.0
0,Treviso,Italy,177309.0
21.4,Talcahuano,Chile,288074.0
52.8,Pekanbaru,Indonesia,799000.0
14.5,Kuala Terengganu,Malaysia,350210.0
19.3,Monterrey,Mexico,3712000.0
15.7,Cluj-Napoca,Romania,316748.0
22.6,Tainan,Taiwan,1876312.0
21.2,Algiers,Algeria,3354000.0
25.1,Huizhou,China,289201.0
27.2,Qiqihar,China,1641000.0
0,Mangalore,India,776632.0
0,Drobeta-Turnu Severin,Romania,106578.0
22.8,Bangkok,Thailand,6704000.0
23.8,Xiamen,China,2519000.0
21.1,Phnom Penh,Cambodia,1466000.0
0,Antalya,Turkey,783000.0
23.2,Fuzhou,China,2606000.0
23.2,Fuzhou,China,241104.0
23.6,Ningde,China,314077.0
24.8,Pingliang,China,207256.0
20.9,Salamanca,Mexico,197524.0
20,Nanping,China,213054.0
0,Guatemala City,Guatemala,1024000.0
22.6,Aksaray,Turkey,0.0
22.4,Putrajaya,Malaysia,67964.0
25.2,Kanchanaburi,Thailand,63699.0
25.3,Ho Chi Minh City,Vietnam,5314000.0
22.9,Longyan,China,367896.0
24.3,Meizhou,China,414930.0
16.1,Ipoh,Malaysia,673318.0
20,Celaya,Mexico,383697.0
20.3,Nantou,Taiwan,165000.0
0,Loei,Thailand,35273.0
22.4,Shantou,China,1601000.0
22.3,Athens,Greece,3242000.0
0,Lanxi,China,72528.0
24,Zhuhai,China,1023000.0
0,Quillota,Chile,79686.0
16.6,Surat Thani,Thailand,157627.0
16.6,Kyiv,Ukraine,2709000.0
0,Jiaojiangcun,China,471500.0
22.8,Cuernavaca,Mexico,834001.0
0,Kikinda,Serbia,0.0
21.6,Kuala Lumpur,Malaysia,1448000.0
21.7,Chifeng,China,1277000.0
0,Revelstoke,Canada,7668.0
0,Puerto Varas,Chile,24958.0
18.6,Yichun,China,982000.0
18.6,Yichun,China,777000.0
14.8,Sungai Petani,Malaysia,358499.0
17.3,Warsaw,Poland,1707000.0
19.3,Changhua,Taiwan,750000.0
24.4,Lishui,China,172777.0
19.9,Pingtung,Taiwan,503530.0
0,Huangyan,China,198713.0
0,Serang,Indonesia,164767.0
32.8,Osorno,Chile,154131.0
27.6,Linares,Chile,81015.0
23.4,Shenzhen,China,7581000.0
20.9,Jerusalem,Israel,1029300.0
19.2,Irapuato,Mexico,339554.0
0,Baku,Azerbaijan,2122300.0
26.8,Sofia,Bulgaria,1185000.0
18.5,Bergamo,Italy,200000.0
25.2,Colombo,Sri Lanka,217000.0
19.9,Istanbul,Turkey,10061000.0
0,Tailai,China,75992.0
15.2,Tsetserleg,Mongolia,19812.0
20.6,Kandy,Sri Lanka,111701.0
26.2,Pathum Thani,Thailand,154412.0
11.4,Phuket,Thailand,141618.0
17.5,Rayong,Thailand,37035.0
17.4,Burgas,Bulgaria,195966.0
0,Debrecen,Hungary,231286.0
17.6,Talca,Chile,197479.0
0,Linhai,China,251759.0
21,Hua Hin,Thailand,50456.0
18.4,Ankara,Turkey,3716000.0
16.8,Dali,China,156685.0
16.8,Dali,China,109696.0
18,Taichung,Taiwan,2629323.0
15.1,Taiping,Malaysia,237095.0
18.1,Trujillo,Peru,765171.0
0,Aranyaprathet,Thailand,22472.0
0,Hat Yai,Thailand,317954.0
19.2,Kocaeli,Turkey,466504.0
0,Rio Claro,Brazil,180147.0
7.1,Kelowna,Canada,125109.0
26.4,Puerto Montt,Chile,174629.0
20,Campinas,Brazil,2791000.0
22,Ruse,Bulgaria,184270.0
0,Beipiao,China,228515.0
22,Denpasar,Indonesia,732344.0
18,Haifa,Israel,1011000.0
0,Puebla,Mexico,2195000.0
0,Arad,Romania,169065.0
0,Durban,South Africa,2729000.0
26.6,Middelburg,South Africa,154706.0
26.6,Middelburg,South Africa,18164.0
6.3,Kamloops,Canada,68714.0
21.6,Curanilahue,Chile,30611.0
0,Bogor,Indonesia,918000.0
18.6,Edirne,Turkey,126470.0
22.5,Gannan,China,59239.0
0,La Libertad,Guatemala,8646.0
0,Asti,Italy,71276.0
17.7,Mexicali,Mexico,885000.0
0,Kamensk-Shakhtinskiy,Russia,75814.0
16.7,Trnava,Slovakia,69785.0
18.4,Nagqu,China,2500.0
0,Eindhoven,Netherlands,398053.0
18.2,Piraeus,Greece,466065.0
17.8,Yalova,Turkey,0.0
16,Seremban,Malaysia,372917.0
11.9,Baia Mare,Romania,136553.0
0,Satu Mare,Romania,112490.0
7.9,Cochrane,Canada,4441.0
0,Gdynia,Poland,314664.0
15.1,Nitra,Slovakia,0.0
0,Murcia,Spain,406807.0
0,Limassol,Cyprus,154000.0
17.2,Szolnok,Hungary,109261.0
0,Ferizaj,Kosovo,0.0
18.4,Bucharest,Romania,1942000.0
19.2,Nicosia,Cyprus,224300.0
19.6,Karaman,Turkey,120399.0
0,Toamasina,Madagascar,210226.0
16.6,Miaoli,Taiwan,150000.0
14.8,Heihe,China,109427.0
22.8,Naples,Italy,2250000.0
23.5,Pristina,Kosovo,0.0
15.8,Vilnius,Lithuania,542366.0
12.7,Alor Setar,Malaysia,336475.0
18.1,Bor,Serbia,0.0
0,Tijuana,Mexico,1553000.0
0,Adana,Turkey,1293000.0
16.2,Benevento,Italy,61791.0
16.3,Haikou,China,2046189.0
19.9,Larnaca,Cyprus,48947.0
0,Batumi,Georgia,155542.0
0,Nairobi,Kenya,3010000.0
26.5,Mahikeng,South Africa,0.0
14,Budapest,Hungary,1679000.0
0,Ratnapura,Sri Lanka,47832.0
0,Montevideo,Uruguay,1513000.0
18.5,Paphos,Cyprus,35961.0
0,Atbasar,Kazakhstan,35819.0
15,Hsinchu,Taiwan,750000.0
12.4,Bethlehem,South Africa,83654.0
20.9,Yala,Thailand,148140.0
19,Singapore,Singapore,5183700.0
13.6,Bratislava,Slovakia,423737.0
14.7,Paris,France,9904000.0
17.5,Narathiwat,Thailand,68112.0
12.4,Buenos Aires,Argentina,12795000.0
0,Pavlodar,Kazakhstan,329002.0
0,Makassar,Indonesia,1262000.0
12.6,Keelung,Taiwan,500000.0
12.2,Kaunas,Lithuania,374643.0
15.5,Olsztyn,Poland,186670.0
15.6,Szczecin,Poland,407811.0
0,Sena Madureira,Brazil,26192.0
13.4,Piracicaba,Brazil,342209.0
9.7,Lübeck,Germany,235390.0
11.9,Trento,Italy,107808.0
0,Ulaan-Uul,Mongolia,3726.0
0,Borovnica,Slovenia,0.0
12.3,Duisburg,Germany,1276757.0
0,Barcelona,Spain,4920000.0
0,Oroqen Zizhiqi,China,40128.0
11.5,Labuan,Malaysia,0.0
21.7,Bydgoszcz,Poland,366452.0
0,Rio de Janeiro,Brazil,11748000.0
0,Cusco,Peru,361182.0
13.9,Taipei,Taiwan,6900273.0
8.9,Cranbrook,Canada,18610.0
13.5,Caserta,Italy,250000.0
14.7,Liestal,Switzerland,12832.0
13,Gent,Belgium,444336.0
14.5,Valdivia,Chile,159599.0
14.4,Satun,Thailand,34544.0
0,Songkhla,Thailand,48616.0
0,Lewes,United Kingdom,0.0
16,Rio Branco,Brazil,257642.0
0,Granada,Spain,388290.0
0,Tirana,Albania,895350.0
9.7,Berlin,Germany,3406000.0
0,Bari,Italy,500577.0
12.3,Kangar,Malaysia,63869.0
13.6,Bintulu,Malaysia,151617.0
0,Barletta,Italy,107830.0
12.8,Guanajuato,Mexico,112200.0
11.2,Utrecht,Netherlands,640000.0
12,Coquimbo,Chile,161317.0
16.2,Gjilan,Kosovo,0.0
7.6,Hertford,United Kingdom,0.0
13.3,Linz,Austria,349161.0
0,Comilla,Bangladesh,389411.0
0,Lausanne,Switzerland,265702.0
0,Bradford,United Kingdom,501700.0
15.4,Santos,Brazil,1709000.0
13.7,Sanya,China,362689.0
11.9,Schwerin,Germany,96641.0
0,Pleiku,Vietnam,142900.0
11.8,Lille,France,1044000.0
0,Sopron,Hungary,0.0
6.2,Napier,New Zealand,57800.0
10,Moscow,Russia,10452000.0
0,Pietermaritzburg,South Africa,750845.0
11.9,Potchefstroom,South Africa,123669.0
12.3,Vienna,Austria,2400000.0
